numero	x1	x2	faillite
1	-0.45	1.09	1
2	-0.56	1.51	1
3	0.06	1.01	1
4	-0.07	1.45	1
5	-0.10	1.56	1
6	-0.14	0.71	1
7	0.04	1.50	1
8	-0.07	1.37	1
9	0.07	1.37	1
10	-0.14	1.42	1
11	-0.23	0.33	1
12	0.07	1.31	1
13	0.01	2.15	1
14	-0.28	1.19	1
15	0.15	1.88	1
16	0.37	1.99	1
17	-0.08	1.51	1
18	0.05	1.68	1
19	0.01	1.26	1
20	0.12	1.14	1
21	-0.28	1.27	1
22	0.51	2.49	0
23	0.08	2.01	0
24	0.38	3.27	0
25	0.19	2.25	0
26	0.32	4.24	0
27	0.31	4.45	0
28	0.12	2.52	0
29	-0.02	2.05	0
30	0.22	2.35	0
31	0.17	1.80	0
32	0.15	2.17	0
33	-0.10	2.50	0
34	0.14	0.46	0
35	0.14	2.61	0
36	0.15	2.23	0
37	0.16	2.31	0
38	0.29	1.84	0
39	0.54	2.33	0
40	-0.33	3.01	0
41	0.48	1.24	0
42	0.56	4.29	0
43	0.20	1.99	0
44	0.47	2.92	0
45	0.17	2.45	0
46	0.58	5.06	0

